"Background_Strategy","Background_Description","Pair","Category","Dataset1","Dataset2","Background_Genes","Rhythmic_Genes_D1","Rhythmic_Genes_D2","Shared_Rhythmic_Genes","Eligible_Terms","Enriched_Terms_D1","Enriched_Terms_D2","Overlap","Jaccard_Index","Perm_Null_Mean_Jaccard","Perm_Null_SD_Jaccard","Perm_Null_P025_Jaccard","Perm_Null_P975_Jaccard","Perm_Null_Mean_Overlap","Perm_Null_Mean_Shared_Genes","Perm_P_value","Perm_P_BH","Significant_Perm_BH","Conditional_Hypergeom_P_value","Conditional_Hypergeom_P_BH","Significant_Conditional_BH","N_Perm_As_Or_More_Extreme","N_Permutations","Size_Only_Seed","Percent_of_D1","Percent_of_D2","Overlap_Terms"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","KEGG Pathways","Osmo","Dex",11323,833,1822,141,351,1,1,1,1,0.003,0.054717401199198,0,0,0.003,133.687,0.003996003996004,0.0719280719280719,"No",0.00284900284900269,0.0512820512820484,"No",3,1000,43010,100,100,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","Reactome","Osmo","Dex",11323,833,1822,141,1239,1,10,0,0,8e-04,0.00891288053546324,0,0,0.008,133.967,1,1,"No",1,1,"No",1000,1000,43011,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","WikiPathways","Osmo","Dex",11323,833,1822,141,166,0,0,0,0,0,0,0,0,0,133.499,1,1,"No",1,1,"No",1000,1000,43012,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","KEGG Pathways","Osmo","HS",11408,836,4817,361,351,1,2,0,0,0.004,0.0445644026773162,0,0,0.008,352.725,1,1,"No",1,1,"No",1000,1000,43020,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","Reactome","Osmo","HS",11408,836,4817,361,1237,1,11,0,0,0.000818181818181818,0.00858979210050993,0,0,0.009,353.213,1,1,"No",1,1,"No",1000,1000,43021,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","WikiPathways","Osmo","HS",11408,836,4817,361,167,0,1,0,0,0,0,0,0,0,352.857,1,1,"No",1,1,"No",1000,1000,43022,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","KEGG Pathways","Osmo","Cartilage",10877,787,1385,103,351,1,7,1,0.142857142857143,0.00328571428571429,0.0214254728681146,0,0,0.023,100.655,0.023976023976024,0.121378621378621,"No",0.0199430199430199,0.102564102564102,"No",23,1000,43030,100,14.2857142857143,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","Reactome","Osmo","Cartilage",10877,787,1385,103,1222,2,4,0,0,0.0022,0.0208709270420745,0,0,0.011,100.545,1,1,"No",1,1,"No",1000,1000,43031,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","WikiPathways","Osmo","Cartilage",10877,787,1385,103,166,0,0,0,0,0,0,0,0,0,100.441,1,1,"No",1,1,"No",1000,1000,43032,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","KEGG Pathways","Dex","HS",11693,1899,4968,870,353,1,3,0,0,0.00233333333333333,0.0278047916692988,0,0,0.007,807.959,1,1,"No",1,1,"No",1000,1000,43040,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","Reactome","Dex","HS",11693,1899,4968,870,1255,9,13,0,0,0.00455864661654135,0.0170008567415262,0,0.0476190476190476,0.094,807.496,1,1,"No",1,1,"No",1000,1000,43041,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","WikiPathways","Dex","HS",11693,1899,4968,870,171,0,2,0,0,0,0,0,0,0,806.622,1,1,"No",1,1,"No",1000,1000,43042,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","KEGG Pathways","Dex","Cartilage",10871,1763,1380,269,351,1,8,1,0.125,0.00325,0.0199018487478823,0,0.125,0.026,223.62,0.026973026973027,0.121378621378621,"No",0.0227920227920227,0.102564102564102,"No",26,1000,43050,100,12.5,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","Reactome","Dex","Cartilage",10871,1763,1380,269,1222,1,12,0,0,0.000833333333333333,0.00829571086880557,0,0,0.01,223.751,1,1,"No",1,1,"No",1000,1000,43051,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","WikiPathways","Dex","Cartilage",10871,1763,1380,269,169,0,1,0,0,0,0,0,0,0,224.375,1,1,"No",1,1,"No",1000,1000,43052,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","KEGG Pathways","HS","Cartilage",10905,4624,1388,683,351,0,7,0,0,0,0,0,0,0,589.351,1,1,"No",1,1,"No",1000,1000,43060,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","Reactome","HS","Cartilage",10905,4624,1388,683,1221,12,12,1,0.0434782608695652,0.00631281761716544,0.0184310911129347,0,0.0434782608695652,0.143,588.278,0.120879120879121,0.435164835164835,"No",0.112244940821331,0.404081786956792,"No",120,1000,43061,8.33333333333333,8.33333333333333,"MMU-168256 (Immune System)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","WikiPathways","HS","Cartilage",10905,4624,1388,683,169,2,1,1,0.5,0.004,0.0445644026773162,0,0,0.008,589.312,0.00899100899100899,0.0809190809190809,"No",0.0118343195266272,0.102564102564102,"No",8,1000,43062,50,100,"WP3626 (Microglia pathogen phagocytosis pathway)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Dex","KEGG Pathways","Osmo","Dex",21840,850,1922,141,362,8,47,3,0.0576923076923077,0.0187833776019681,0.0187911510286389,0,0.0576923076923077,0.996,74.642,0.0779220779220779,0.100185528756957,"No",0.0718560672318802,0.0923863721552745,"No",77,1000,44010,37.5,6.38297872340426,"mmu04710 (Circadian rhythm); mmu01100 (Metabolic pathways); mmu04141 (Protein processing in endoplasmic reticulum)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Dex","Reactome","Osmo","Dex",21840,850,1922,141,1437,13,64,5,0.0694444444444444,0.00792096834649433,0.0129416671824305,0,0.0405405405405405,0.593,74.665,0.00699300699300699,0.0114431023521933,"Yes",0.000146392396248534,0.000263506313247362,"Yes",6,1000,44011,38.4615384615385,7.8125,"MMU-199991 (Membrane Trafficking); MMU-5653656 (Vesicle-mediated transport); MMU-392499 (Metabolism of proteins); MMU-597592 (Post-translational protein modification); MMU-1430728 (Metabolism)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Dex","WikiPathways","Osmo","Dex",21840,850,1922,141,186,1,12,1,0.0833333333333333,0.00641666666666667,0.0222270702919858,0,0.0833333333333333,0.077,74.932,0.0779220779220779,0.100185528756957,"No",0.064516129032258,0.0893300248138957,"No",77,1000,44012,100,8.33333333333333,"WP544 (Exercise-induced circadian regulation)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_HS","KEGG Pathways","Osmo","HS",21840,850,5052,361,362,8,167,8,0.0479041916167665,0.0214047214329399,0.00901630453336771,0.00574712643678161,0.0416666666666667,3.654,196.351,0.001998001998002,0.0035964035964036,"Yes",0.0018705034498163,0.00306082382697213,"Yes",1,1000,44020,100,4.79041916167665,"mmu04710 (Circadian rhythm); mmu01100 (Metabolic pathways); mmu00510 (N-Glycan biosynthesis); mmu04140 (Autophagy - animal); mmu04714 (Thermogenesis); mmu04142 (Lysosome biogenesis); mmu04713 (Circadian entrainment); mmu04141 (Protein processing in endoplasmic reticulum)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_HS","Reactome","Osmo","HS",21840,850,5052,361,1437,13,281,12,0.0425531914893617,0.00889293634351026,0.00688556978697838,0,0.024390243902439,2.578,197.354,0.000999000999000999,0.00224775224775225,"Yes",2.76923869708276e-08,9.96925930949794e-08,"Yes",0,1000,44021,92.3076923076923,4.27046263345196,"MMU-446203 (Asparagine N-linked glycosylation); MMU-199991 (Membrane Trafficking); MMU-948021 (Transport to the Golgi and subsequent modification); MMU-5653656 (Vesicle-mediated transport); MMU-392499 (Metabolism of proteins); MMU-199977 (ER to Golgi Anterograde Transport); MMU-6811442 (Intra-Golgi and retrograde Golgi-to-ER traffic); MMU-597592 (Post-translational protein modification); MMU-6807878 (COPI-mediated anterograde transport); MMU-8856688 (Golgi-to-ER retrograde transport); MMU-1430728 (Metabolism); MMU-6811434 (COPI-dependent Golgi-to-ER retrograde traffic)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_HS","WikiPathways","Osmo","HS",21840,850,5052,361,186,1,52,1,0.0192307692307692,0.00517307692307692,0.00853195862546377,0,0.0192307692307692,0.269,196.234,0.26973026973027,0.303446553446553,"No",0.279569892473118,0.296015180265655,"No",269,1000,44022,100,1.92307692307692,"WP544 (Exercise-induced circadian regulation)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Cartilage","KEGG Pathways","Osmo","Cartilage",21840,850,1626,103,362,8,82,3,0.0344827586206897,0.0215727019393544,0.0152833763287208,0,0.0588235294117647,1.881,63.403,0.2997002997003,0.317329729094435,"No",0.262683653884048,0.295519110619554,"No",299,1000,44030,37.5,3.65853658536585,"mmu04710 (Circadian rhythm); mmu04142 (Lysosome biogenesis); mmu04141 (Protein processing in endoplasmic reticulum)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Cartilage","Reactome","Osmo","Cartilage",21840,850,1626,103,1437,13,95,1,0.00934579439252336,0.0089346426069243,0.0118259692865111,0,0.0384615384615385,0.942,63.289,0.514485514485514,0.514485514485514,"No",0.590582997220687,0.590582997220687,"No",514,1000,44031,7.69230769230769,1.05263157894737,"MMU-597592 (Post-translational protein modification)"
"all_mouse","All mouse genes mapped to STRING","Osmo_vs_Cartilage","WikiPathways","Osmo","Cartilage",21840,850,1626,103,186,1,22,1,0.0454545454545455,0.00536363636363636,0.0146713430250062,0,0.0454545454545455,0.118,63.265,0.118881118881119,0.142657342657343,"No",0.118279569892473,0.141935483870968,"No",118,1000,44032,100,4.54545454545455,"WP544 (Exercise-induced circadian regulation)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_HS","KEGG Pathways","Dex","HS",21840,1922,5052,870,362,47,167,38,0.215909090909091,0.113579102877097,0.0232926292362544,0.07,0.16304347826087,21.743,443.697,0.000999000999000999,0.00224775224775225,"Yes",2.06016756616664e-07,6.18050269849993e-07,"Yes",0,1000,44040,80.8510638297872,22.7544910179641,"mmu04710 (Circadian rhythm); mmu05100 (Bacterial invasion of epithelial cells); mmu05205 (Proteoglycans in cancer); mmu01100 (Metabolic pathways); mmu05418 (Fluid shear stress and atherosclerosis); mmu04066 (HIF-1 signaling pathway); mmu01232 (Nucleotide metabolism); mmu04148 (Efferocytosis); mmu05225 (Hepatocellular carcinoma); mmu00010 (Glycolysis / Gluconeogenesis); mmu04517 (IgSF CAM signaling); mmu04115 (p53 signaling pathway); mmu04936 (Alcoholic liver disease); mmu04144 (Endocytosis); mmu01200 (Carbon metabolism); mmu05230 (Central carbon metabolism in cancer); mmu05223 (Non-small cell lung cancer); mmu04015 (Rap1 signaling pathway); mmu04510 (Focal adhesion); mmu04340 (Hedgehog signaling pathway); mmu00310 (Lysine degradation); mmu05200 (Pathways in cancer); mmu05214 (Glioma); mmu04010 (MAPK signaling pathway); mmu01524 (Platinum drug resistance); mmu00532 (Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate); mmu04211 (Longevity regulating pathway); mmu04141 (Protein processing in endoplasmic reticulum); mmu04722 (Neurotrophin signaling pathway); mmu05132 (Salmonella infection); mmu00280 (Valine, leucine and isoleucine degradation); mmu01230 (Biosynthesis of amino acids); mmu04518 (Integrin signaling); mmu05211 (Renal cell carcinoma); mmu04820 (Cytoskeleton in muscle cells); mmu05135 (Yersinia infection); mmu04151 (PI3K-Akt signaling pathway); mmu04152 (AMPK signaling pathway)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_HS","Reactome","Dex","HS",21840,1922,5052,870,1437,64,281,56,0.193771626297578,0.0379869287026702,0.0165187188694981,0.0117302052785924,0.078125,12.543,445.803,0.000999000999000999,0.00224775224775225,"Yes",1.84321761460132e-33,3.31779170628238e-32,"Yes",0,1000,44041,87.5,19.9288256227758,"MMU-162582 (Signal Transduction); MMU-9012999 (RHO GTPase cycle); MMU-9716542 (Signaling by Rho GTPases, Miro GTPases and RHOBTB3); MMU-194315 (Signaling by Rho GTPases); MMU-9013149 (RAC1 GTPase cycle); MMU-9675108 (Nervous system development); MMU-71387 (Metabolism of carbohydrates); MMU-422475 (Axon guidance); MMU-1430728 (Metabolism); MMU-194138 (Signaling by VEGF); MMU-9013148 (CDC42 GTPase cycle); MMU-4420097 (VEGFA-VEGFR2 Pathway); MMU-8980692 (RHOA GTPase cycle); MMU-9013423 (RAC3 GTPase cycle); MMU-1630316 (Glycosaminoglycan metabolism); MMU-9013406 (RHOQ GTPase cycle); MMU-597592 (Post-translational protein modification); MMU-168256 (Immune System); MMU-1266738 (Developmental Biology); MMU-9006934 (Signaling by Receptor Tyrosine Kinases); MMU-392499 (Metabolism of proteins); MMU-109582 (Hemostasis); MMU-9013404 (RAC2 GTPase cycle); MMU-168249 (Innate Immune System); MMU-416482 (G alpha (12/13) signalling events); MMU-8856828 (Clathrin-mediated endocytosis); MMU-1793185 (Chondroitin sulfate/dermatan sulfate metabolism); MMU-5218920 (VEGFR2 mediated vascular permeability); MMU-2682334 (EPH-Ephrin signaling); MMU-74160 (Gene expression (Transcription)); MMU-9013026 (RHOB GTPase cycle); MMU-73857 (RNA Polymerase II Transcription); MMU-5683057 (MAPK family signaling cascades); MMU-193648 (NRAGE signals death through JNK); MMU-204998 (Cell death signalling via NRAGE, NRIF and NADE); MMU-199991 (Membrane Trafficking); MMU-212436 (Generic Transcription Pathway); MMU-9013106 (RHOC GTPase cycle); MMU-5653656 (Vesicle-mediated transport); MMU-2029482 (Regulation of actin dynamics for phagocytic cup formation); MMU-2024096 (HS-GAG degradation); MMU-1474290 (Collagen formation); MMU-76002 (Platelet activation, signaling and aggregation); MMU-9006931 (Signaling by Nuclear Receptors); MMU-193704 (p75 NTR receptor-mediated signalling); MMU-73887 (Death Receptor Signaling); MMU-2029480 (Fcgamma receptor (FCGR) dependent phagocytosis); MMU-9013408 (RHOG GTPase cycle); MMU-5673001 (RAF/MAP kinase cascade); MMU-1650814 (Collagen biosynthesis and modifying enzymes); MMU-1474244 (Extracellular matrix organization); MMU-70895 (Branched-chain amino acid catabolism); MMU-5684996 (MAPK1/MAPK3 signaling); MMU-6798695 (Neutrophil degranulation); MMU-8953897 (Cellular responses to stimuli); MMU-1638091 (Heparan sulfate/heparin (HS-GAG) metabolism)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_HS","WikiPathways","Dex","HS",21840,1922,5052,870,186,12,52,11,0.207547169811321,0.0561075667492645,0.0269257308827053,0.0158730158730159,0.103448275862069,3.361,445.806,0.000999000999000999,0.00224775224775225,"Yes",3.33170893483561e-06,8.56725154672013e-06,"Yes",0,1000,44042,91.6666666666667,21.1538461538462,"WP385 (Myometrial relaxation and contraction pathways); WP65 (Insulin signaling); WP544 (Exercise-induced circadian regulation); WP85 (Focal adhesion); WP4466 (Oxidative stress and redox pathway); WP572 (EGFR1 signaling pathway); WP3625 (Tyrobp causal network in microglia); WP1763 (Mechanisms associated with pluripotency); WP2841 (Focal adhesion: PI3K-Akt-mTOR signaling pathway); WP450 (IL-2 signaling pathway); WP539 (Wnt signaling pathway)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_Cartilage","KEGG Pathways","Dex","Cartilage",21840,1922,1626,269,362,47,82,18,0.162162162162162,0.0931618455160208,0.0311533163569219,0.0403225806451613,0.162162162162162,10.899,144.006,0.033966033966034,0.050949050949051,"No",0.00699308272015881,0.0104896240802382,"Yes",33,1000,44050,38.2978723404255,21.9512195121951,"mmu04710 (Circadian rhythm); mmu05418 (Fluid shear stress and atherosclerosis); mmu04066 (HIF-1 signaling pathway); mmu01232 (Nucleotide metabolism); mmu00010 (Glycolysis / Gluconeogenesis); mmu04517 (IgSF CAM signaling); mmu04144 (Endocytosis); mmu05230 (Central carbon metabolism in cancer); mmu04015 (Rap1 signaling pathway); mmu04510 (Focal adhesion); mmu05200 (Pathways in cancer); mmu04010 (MAPK signaling pathway); mmu04141 (Protein processing in endoplasmic reticulum); mmu05132 (Salmonella infection); mmu04518 (Integrin signaling); mmu05221 (Acute myeloid leukemia); mmu05135 (Yersinia infection); mmu04151 (PI3K-Akt signaling pathway)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_Cartilage","Reactome","Dex","Cartilage",21840,1922,1626,269,1437,64,95,23,0.169117647058824,0.0285852367559089,0.020915527610161,0,0.0743243243243243,4.357,143.825,0.001998001998002,0.0035964035964036,"Yes",8.85812962966974e-13,5.31487777780184e-12,"Yes",1,1000,44051,35.9375,24.2105263157895,"MMU-162582 (Signal Transduction); MMU-9012999 (RHO GTPase cycle); MMU-9716542 (Signaling by Rho GTPases, Miro GTPases and RHOBTB3); MMU-194315 (Signaling by Rho GTPases); MMU-9013149 (RAC1 GTPase cycle); MMU-9675108 (Nervous system development); MMU-422475 (Axon guidance); MMU-194138 (Signaling by VEGF); MMU-9013148 (CDC42 GTPase cycle); MMU-4420097 (VEGFA-VEGFR2 Pathway); MMU-8980692 (RHOA GTPase cycle); MMU-9013423 (RAC3 GTPase cycle); MMU-597592 (Post-translational protein modification); MMU-168256 (Immune System); MMU-9006934 (Signaling by Receptor Tyrosine Kinases); MMU-109582 (Hemostasis); MMU-9013404 (RAC2 GTPase cycle); MMU-168249 (Innate Immune System); MMU-76002 (Platelet activation, signaling and aggregation); MMU-9013408 (RHOG GTPase cycle); MMU-1474244 (Extracellular matrix organization); MMU-6798695 (Neutrophil degranulation); MMU-8953897 (Cellular responses to stimuli)"
"all_mouse","All mouse genes mapped to STRING","Dex_vs_Cartilage","WikiPathways","Dex","Cartilage",21840,1922,1626,269,186,12,22,7,0.259259259259259,0.0438540044493882,0.0347994782715156,0,0.133333333333333,1.393,142.946,0.000999000999000999,0.00224775224775225,"Yes",6.75136194882574e-05,0.000135027238976515,"Yes",0,1000,44052,58.3333333333333,31.8181818181818,"WP65 (Insulin signaling); WP544 (Exercise-induced circadian regulation); WP85 (Focal adhesion); WP572 (EGFR1 signaling pathway); WP3625 (Tyrobp causal network in microglia); WP2841 (Focal adhesion: PI3K-Akt-mTOR signaling pathway); WP450 (IL-2 signaling pathway)"
"all_mouse","All mouse genes mapped to STRING","HS_vs_Cartilage","KEGG Pathways","HS","Cartilage",21840,5052,1626,683,362,167,82,61,0.324468085106383,0.180931992617359,0.0296307137082758,0.121621621621622,0.238805970149254,38.017,376.643,0.000999000999000999,0.00224775224775225,"Yes",3.91304713254526e-09,1.76087120964537e-08,"Yes",0,1000,44060,36.5269461077844,74.390243902439,"mmu04142 (Lysosome biogenesis); mmu04141 (Protein processing in endoplasmic reticulum); mmu05200 (Pathways in cancer); mmu05165 (Human papillomavirus infection); mmu05206 (MicroRNAs in cancer); mmu04110 (Cell cycle); mmu04510 (Focal adhesion); mmu05132 (Salmonella infection); mmu04010 (MAPK signaling pathway); mmu04151 (PI3K-Akt signaling pathway); mmu04933 (AGE-RAGE signaling pathway in diabetic complications); mmu04517 (IgSF CAM signaling); mmu04390 (Hippo signaling pathway); mmu04218 (Cellular senescence); mmu04360 (Axon guidance); mmu04666 (Fc gamma R-mediated phagosome formation); mmu04810 (Regulation of actin cytoskeleton); mmu04144 (Endocytosis); mmu04611 (Platelet activation); mmu04015 (Rap1 signaling pathway); mmu05163 (Human cytomegalovirus infection); mmu04072 (Phospholipase D signaling pathway); mmu05135 (Yersinia infection); mmu00541 (Biosynthesis of various nucleotide sugars); mmu04710 (Circadian rhythm); mmu05203 (Viral carcinogenesis); mmu05230 (Central carbon metabolism in cancer); mmu05166 (Human T-cell leukemia virus 1 infection); mmu05418 (Fluid shear stress and atherosclerosis); mmu04518 (Integrin signaling); mmu04145 (Phagocytosis); mmu04062 (Chemokine signaling pathway); mmu01250 (Biosynthesis of nucleotide sugars); mmu04066 (HIF-1 signaling pathway); mmu00520 (Amino sugar and nucleotide sugar metabolism); mmu04014 (Ras signaling pathway); mmu05170 (Human immunodeficiency virus 1 infection); mmu04330 (Notch signaling pathway); mmu01232 (Nucleotide metabolism); mmu04380 (Osteoclast differentiation); mmu05417 (Lipid and atherosclerosis); mmu04931 (Insulin resistance); mmu05167 (Kaposi sarcoma-associated herpesvirus infection); mmu04668 (TNF signaling pathway); mmu04210 (Apoptosis); mmu04215 (Apoptosis - multiple species); mmu05152 (Tuberculosis); mmu04670 (Leukocyte transendothelial migration); mmu05142 (Chagas disease); mmu05169 (Epstein-Barr virus infection); mmu05145 (Toxoplasmosis); mmu00010 (Glycolysis / Gluconeogenesis); mmu04664 (Fc epsilon RI signaling pathway); mmu05212 (Pancreatic cancer); mmu04966 (Collecting duct acid secretion); mmu00240 (Pyrimidine metabolism); mmu05164 (Influenza A); mmu04660 (T cell receptor signaling pathway); mmu04721 (Synaptic vesicle cycle); mmu04662 (B cell receptor signaling pathway); mmu05162 (Measles)"
"all_mouse","All mouse genes mapped to STRING","HS_vs_Cartilage","Reactome","HS","Cartilage",21840,5052,1626,683,1437,281,95,60,0.189873417721519,0.0538307878199361,0.0207732721729698,0.0217391304347826,0.102639296187683,19.071,376.842,0.000999000999000999,0.00224775224775225,"Yes",3.16977989015898e-22,2.85280190114308e-21,"Yes",0,1000,44061,21.3523131672598,63.1578947368421,"MMU-162582 (Signal Transduction); MMU-9716542 (Signaling by Rho GTPases, Miro GTPases and RHOBTB3); MMU-194315 (Signaling by Rho GTPases); MMU-9012999 (RHO GTPase cycle); MMU-168256 (Immune System); MMU-597592 (Post-translational protein modification); MMU-195258 (RHO GTPase Effectors); MMU-69278 (Cell Cycle, Mitotic); MMU-9006934 (Signaling by Receptor Tyrosine Kinases); MMU-1640170 (Cell Cycle); MMU-2262752 (Cellular responses to stress); MMU-8953897 (Cellular responses to stimuli); MMU-109582 (Hemostasis); MMU-1280218 (Adaptive Immune System); MMU-9675108 (Nervous system development); MMU-168249 (Innate Immune System); MMU-422475 (Axon guidance); MMU-8980692 (RHOA GTPase cycle); MMU-9013149 (RAC1 GTPase cycle); MMU-1474244 (Extracellular matrix organization); MMU-68886 (M Phase); MMU-76002 (Platelet activation, signaling and aggregation); MMU-4420097 (VEGFA-VEGFR2 Pathway); MMU-194138 (Signaling by VEGF); MMU-69620 (Cell Cycle Checkpoints); MMU-6798695 (Neutrophil degranulation); MMU-2132295 (MHC class II antigen presentation); MMU-983169 (Class I MHC mediated antigen processing & presentation); MMU-9013423 (RAC3 GTPase cycle); MMU-9013404 (RAC2 GTPase cycle); MMU-9013148 (CDC42 GTPase cycle); MMU-373755 (Semaphorin interactions); MMU-917937 (Iron uptake and transport); MMU-168898 (Toll-like Receptor Cascades); MMU-15869 (Metabolism of nucleotides); MMU-9639288 (Amino acids regulate mTORC1); MMU-9711097 (Cellular response to starvation); MMU-382551 (Transport of small molecules); MMU-449836 (Other interleukin signaling); MMU-917977 (Transferrin endocytosis and recycling); MMU-114604 (GPVI-mediated activation cascade); MMU-1280215 (Cytokine Signaling in Immune system); MMU-74752 (Signaling by Insulin receptor); MMU-1222556 (ROS and RNS production in phagocytes); MMU-1433557 (Signaling by SCF-KIT); MMU-1500931 (Cell-Cell communication); MMU-216083 (Integrin cell surface interactions); MMU-9013408 (RHOG GTPase cycle); MMU-5621480 (Dectin-2 family); MMU-449147 (Signaling by Interleukins); MMU-499943 (Interconversion of nucleotide di- and triphosphates); MMU-2424491 (DAP12 signaling); MMU-77387 (Insulin receptor recycling); MMU-453279 (Mitotic G1 phase and G1/S transition); MMU-202733 (Cell surface interactions at the vascular wall); MMU-5357801 (Programmed Cell Death); MMU-109581 (Apoptosis); MMU-1433559 (Regulation of KIT signaling); MMU-210990 (PECAM1 interactions); MMU-2172127 (DAP12 interactions)"
"all_mouse","All mouse genes mapped to STRING","HS_vs_Cartilage","WikiPathways","HS","Cartilage",21840,5052,1626,683,186,52,22,16,0.275862068965517,0.0945564883981913,0.0350867551382384,0.0277777777777778,0.174603174603175,6.324,375.821,0.000999000999000999,0.00224775224775225,"Yes",3.96534378952842e-06,8.92202352643895e-06,"Yes",0,1000,44062,30.7692307692308,72.7272727272727,"WP572 (EGFR1 signaling pathway); WP3625 (Tyrobp causal network in microglia); WP3626 (Microglia pathogen phagocytosis pathway); WP407 (Kit receptor signaling pathway); WP2573 (Primary focal segmental glomerulosclerosis (FSGS)); WP488 (Alpha 6 beta 4 integrin signaling pathway); WP65 (Insulin signaling); WP373 (IL-3 signaling pathway); WP85 (Focal adhesion); WP450 (IL-2 signaling pathway); WP2292 (Chemokine signaling pathway); WP544 (Exercise-induced circadian regulation); WP2841 (Focal adhesion: PI3K-Akt-mTOR signaling pathway); WP5242 (Comprehensive IL-17A signaling); WP2432 (Spinal cord injury); WP1254 (Apoptosis)"
